,review_id,star_rating,text_original
14,R144Z7G4R8UHLV,5,Simply bad ass guitar mine was cheaper due to wear and tear but this guitar is sickkk Only complant was wrong item pictured but correct model and the knobs and tuning keys were a little corroded but is easily fixed and sounds great and looks brand new love the guitar thanks! Amazing sound simply a versatile and bad ass string through body solid piece guitar high quality fretboard and emg pickups. Perfect for metal blues jazz punk hell anythi ng
4947,RVT0I0O3KFBHF,5,Exactly what I was looking for Great tuner. Looks awesome in my rack and tunes my bass guitar perfect. The tuner is really sensitive which is good. I was able to hook it up  through my effects loop and still use the mute function on the front. The ins/oust are on the back of the tuner and amp and I can still plug my bass into my amp input. Looks professional.
4559,R1PB4GU51JS3K4,5,"Well made, good fit, nicely padded It's a soft case so you wouldn't want to put a $150 Ukulele in it and travel the country, but it's very nicely made for a soft case.  Worth spending a couple of dollars more for."
5192,R1E0UQ19UZNP8L,4,Not my favorite but...not too bad. These are different. Kind of hard on the finger tips but will assist in building up the callouses...<br />The sound is different that Martin's and Aquila's which may be a little more mellow....but the price is great. I would recommend you to give a set a try! They break in much faster than Aquila's which take what seems forever to stay in tune and are different with the one wound string...can't really figure out the reason for that though...<br />Pro's<br />Inexpensive<br />Con's<br />Tough on the fingers....but will build them up...
4004,R2AWZPL75K8L4P,3,I would recommend I've used it for about a month and a half now. I noticed the the letters on the cover are starting to wear off. It really doesn't bother me considering it was only like $2 I think. I think I'll be able to make long term use of it but it wouldn't surprise me if I eventually needed to buy a new one cause I wont be able to read the letters anymore. Oh and the letters are kinda off compared to the lit up keys underneath the cover but that's not a big deal to me. Idk some people are picky
346,R3EOI73JFPAQLF,5,"this is a good If u want the variety of picks such as gripped, jazz, soft, etc. this is a good purchase"
4834,R1X2G65U4CSWK9,5,Great learner guitar got it for my daughter and she ... Great learner guitar got it for my daughter and she really likes it.  For the price it is perfect and stays in tune very well.
5494,R1Q513R2FW4CBK,4,"Great travel guitar, some work required.. This is a good little guitar, especially for what it is, very portable.<br />It has a nice neck and fretboard, but the hardware is a little on the cheap side.<br />The pickup is high output and it's great for rock, but a little rough for the clean stuff.<br />Right out of the box it was horribly set up. I spent 20 - 30 minutes adjusting the bridge down and adjusting the truss rod.<br />When I was done, now it plays great.<br />The one thing I changed was the pickup, I swapped it for a Seymour Duncan Invader. That gave it a little more 'oomph', but the stock one is adequate, I'm just a metalhead. Overall, it's a good travel guitar as well as just a decent guitar, but be prepared to do a full setup. The bag is good and it should travel as well as the Ministar it's replacing."
8403,R3SR2CCBTILI8Y,5,Five Stars Excellent tubes with great sound and clarity.
1349,R5ZCF6WCQ54X1,2,"Didnt fit right Worst gym experience ever, they kept falling off my ears with every movement I made"
4522,R3BC7M9UR8CFIO,5,"my roommates and neighbors already hate me and my band mates are jealous already I was skeptical about getting a low watt amp, but this baby can rock any place; my roommates and neighbors already hate me and my band mates are jealous already. Why you should buy it?<br /><br />The sound is amazingly clean.<br />The price is unbeatable.<br />Feels rich and smooth.<br />Great to play the blues and some AC/DC.<br /><br />This is a wise first step in the world of tube amps; would recommend it regardless."
8408,R314NFLCIKEU06,4,Works well as a karaoke mic I purchased this as a second mic for a karaoke machine at home.  It sounds better than the mic that came with the karaoke machine- so much so that I'm thinking of getting another one of these to replace the original that came with the machine.  It is nice that it comes with an adapter just in case we might wish to use it with some other equipment at some point.
7050,R10I7H3RI1EE27,1,Cheap crap... Half the blue led's went out after 2 weeks Buyer Beware! - Cheap crap... Half the blue led's went out after 2 weeks
7374,R2KSHO0MUDOV1E,5,great to have my keyboard back Works....great to have my keyboard back!
5572,R1KJH6SGRERVS8,5,"My new favorite I have tried many brands and types of shoulder rest for violin over the years and have found the Kun brand the most comfortable and secure. When the Kun standard came out, it became my favorite.  Then, the Kun Bravo came along and took my heart.  It functioned about the same as the standard, but the wood model was just too cool. When the carbon fiber Voce came out, I was a bit put off by the price, but decided to give it a try.  I am glad I did. It is light, secure on the instrument, fits my shoulder wonderfully, and as a result I hold the violin securely with little fatigue. My teacher tried it and he has converted to the Voce. I predict it's use will spread through the orchestra the way Evah Pirazzi strings did. I own several violins and really appreciate the ease in which the Voce adjusts to different widths of instrument.  Summary: I love it."
7426,R3AN7IGB3DT1CQ,5,"Since receiving this mute, I have had no noise complaints from my neighbors. This straight aluminum mute results in a metallic, sometimes nasal sound, and when played at loud volumes can result in a very piercing note. My trumpet creates a high end measurement of 100 dB one meter from the bell. This practice mute cuts the loudness to 50db, but shows uneven harmonic structure and is not a mute that is meant to be enjoyed for listeningâ€™s sake.  I consider this mute more just for practicing with to reduce the volume emitted."
1027,R1YEWEOZN84CBF,5,This is a nice product works very nicely and at a decent price. It comes with a nice holding case to keep it in good condition. Good quality sound.
2825,RZMU2MJ49GH50,5,good product Worked as advertised
7065,R30BLTDYO3DI49,4,"Strong and inexpensive This is a great inexpensive bench, capable of easily holding my 190lbs.  The padded foam top is supportive and after a month of daily practice use, shows no signs of sagging or taking on an impression.  Adjustments are simple, but not quick, so if you have different people who need to use this, it's a workable but not perfect solution.  Hence, only 4 stars instead of 5."
6561,RSK4OSI8ABTBR,5,"... for over a month now and it is a great instrument. The sound is very bright (not subtle ... I have owned this ukulele for over a month now and it is a great instrument.  The sound is very bright (not subtle and sweet like my wooden ukulele), but it is very pleasant sounding for being made entirely of plastic.  I got it so I could leave it in the car during all times of the year, and so I could take it camping or out in the canoe (this guy can get wet!). As a plus, it is a little harder to play.  There is more tension on the fret-board, so I am building more strength while playing.  It is very affordable and attractive to look at!"
5991,R1EB7GYYLIWCIX,5,"Cordon Classical Guitar The tone and playability of this beautifully made classical guitar far exceeded expectations. Beautiful fit, finish and hardware make tis guitar a true bargain. Perfect for young beginner guitarists."
6734,R1C7PMAVICNX8S,4,Ocarina Pendant My sister loves Taichi. Bought this along with the song book to learn how to play this pendant. Necklace is adjustable. Cute to wear with a casual outfit.
1195,R39G67GV2SXHCX,5,I'm happy with my purchase It is exactly what I was looking for and I'm satisfied with the product. It has a great tone and is so very light that is weighs nearly nothing.
3245,R3JIA7RQCW5LCL,4,"Seems pretty good! Like the 1 star reviewer says Just opened it and gave it a blast.  Seems pretty good!  Like the 1 star reviewer says, it is 2 pieces of wood joined down the center - and - the color of the wood is not consistent, mine is much lighter at the mouth end and more like the coloring in the picture at the other end - but - the wood quality and varnish job is not bad.  It does not give a deep resonant sound, it's more of a mid tone, but that's the trade off for the compact size.  Plays really well without wax, circular breathing, vocal noises and all.  Perhaps a touch expensive for what you get, but overall, a decent little travel didge.  I like it.    One unexpected bonus of the short length is that you can cover the end with your hand while playing.  Useful for  muting the sound and for making additional effects."
3937,R33COPGESCUMTW,3,"Yes it holds the pencil, but it doesn't stay on the stand! This little spring does what it is required to do: hold my pencil. This is good, because without it,  i continually knock the pencil off the stand onto the floor. However, when i first tried to use the spring, both the pencil AND the spring ended up on the floor. The clip simply is not strong enough to crasp the ledge of the stand. Quick fix: add a piece of tape and all is well."
5444,R35JITMYWUJKL1,5,"I bought this about 2 weeks ago and absolutely love it. It has a lot of versatility for ... I bought this about 2 weeks ago and absolutely love it. It has a lot of versatility for creating many different tones, and has all the features I was looking for. The overall tone is pretty clean which is what I prefer. It gets pretty loud, I keep it between 1 and 2 when practicing alone, and only at 5 when playing with my band. Needless to say it is great for small gigs and practice, though it is pretty big.<br />I play a Fender Standard Jazz bass, and play some country, and rock music."
5170,R22UC7IHGAZ8D,1,"Decptive Seller - Stay Away For Own Sanity I have received the Barcelona Student 1/2 size violin I purchased from Austin Bazaar. I have tried to contact Austin Bazaar on the phone twice and left 2 messages. They didn't contact me back. I emailed Austin Bazaar and they replied with 3 links of their policy OF 30 DAY RETURN IF THE ITEM IS DEFECTIVE AND SETUP INSTRUCTIONS. I followed the 3 links they sent me to setup the violin AGAIN and had no sound. I tuned the strings with the Korg Chromatic Tuner TM-40 I bought from Amazon and matched the tunes of G, D, A & E. But, it doesn't have any sound when I pulled the bows. It came with 2 bows and both don't work. Austin Bazaar ignored my voice messages and emails by refusing to call me back and reply back with the Return Authorization Number. BUYERS, BEWARE OF THIS SHADY SELLER !!!!!!!!!!!!!!!!!!"
2067,R1TS8R5W8NEDWX,5,Five Stars Good deal.
4081,R23F4I2EPXCIXU,5,"Big sound Love the amp. Big sound but very portable. Thought about getting the bigger version, but unless you do a lot of performing at larger venues, this machine is great."
3541,R1R9M53C9VTK0E,5,"Ernie Ball's are my total  strings of choice I have a Takamine TB240SC acoustic bass which i have tried many many strings on. Including some expensive ones but i never could get it to resonate or project they way i thought it should. This included, painstaking break-in and setup.<br /> I had just about given up and was ready to sell it when i was ordering strings for my other guitars (which all are equipped with various Ernie Ball's) and saw the Earthwood's.<br /> I thought &#34;what the heck&#34; they were inexpensive and always fast shipping through Amazon so i ordered them.<br /> Let me tell you!!!! this guitar came alive!! the resonance was there along with the projection, no more muddy sound... bright ,clean, clear beautiful sound coming from the mahogany big body...just as it should have been all along..Thank you Ernie Ball and thank you Amazon..."
7172,RBRIXITKFYALC,5,Well made and Easy to Carry Bought this for my daughter who rides her bike to school and slings her violin over her shoulder. It's very well made and lightweight.  We got the blue color and its really nice.  I highly recommend this case.
866,R36KJT1W9IE01N,4,"Best tuner out there!!!!! Great tuner! It tunes accurately and has an option to tune through vibrations allowing me to tune in noisy rooms. The reason I reccomend it to so many ppl is because of its accuracy and ease in tuning. The lines are color coded based on how close to the right pitch you are. It clips on comfortably and stays on well. The head can be tilted in any direction and this surely outshines any tuner I've tried (quite a few). I gave it four stars because of its quality. Unfortunately, these tuners don't last too long. They usually crack or come apart after a decent fall. Two of mine still functioned but couldn't be clipped on after they fell. I ordered a few because they are really good and I always want to have one at hand:)"
6307,R1V86EC2Q91ZBR,3,"2 out of 3 ain't bad. I picked up 3 of these. One oh them came with a cross threaded bolt, disappointing at first, but I was able to rethread it. Other then that everything was as expected. Oh, and mine don't smell bad."
3346,R37KAQYUHRYWDY,1,These are useless. Do not bother I bought two of these units and the output was barely audible in the ear buds.. These are useless. Do not bother.
2847,R2TAZ3VPAA6HFR,5,"Excellent Light come with Lightening Service Excellent Light for reading at night. I have been using this LED for more than 6 month and it work great. Recently couple of LED stop working and eventually for some reason it didn't work , when i contacted Seller and ask about the &#34; LIFETIME WARRANTY&#34; they send me another brand new LED lamp and it is working awesome. I would recommend this to friends and great service by the Seller."
7225,R1K5HH6Q9DEMVS,5,"Great strings to emphasize bass on a bright guitar I got these strings for my Seagull 25th anniversary mahogany/spruce. Most light strings are too bright and do not drive the top well enough; these strings added volume and bass, keeping the nice trebles and adding some nice Martin-like bass boom to the lower strings. I'll be using these from now on!"
1597,R2RTVX5H1AK3LP,4,Great deal &#34;Got these for my daughter. The product shipped very fast. For the money it is a great deal. I plan on making another order.
2287,RZ8R8SG1UVSCL,5,"Cables shouldn't be expensive. Cables shouldn't be expensive.  I thought the connectors looked a little suspect, but they work fine.  Good sound quality, but I'm using Shure SM58's.  I'm getting good sound and volume."
1470,R2JK008KCI7WVV,5,Nikomahs We bought this for our son and he loves it!  Takes lessons on electric guitar and now has his first acoustic.
4772,R29MHT8Y5TDUD5,4,"Tamborine if Good Thank You for the tambourine, which is very nice and was a gift for the grand kids.  It is well made and should last for a long time."
8183,RIBQ2HU94UBRY,4,"Works okay Sticks well, and cushions well, but I was a little disappointed in the size. These are a little smallish for my taste."
6886,R3QYM7HH7IT9SP,1,Not a good idea Arrived and won't play!!! Three days before Christmas not a good thing at all.
3880,R301ZOXWC8YKJC,5,Kaplan Strings Kaplan strings are the best.
733,RLO9M8QXD2KZQ,5,"YOU NEED THIS PEDAL BASS PLAYER STAPLE FOR EVERY PEDAL BOARD...<br /><br />You have to understand the envelope filter effect before you can FULLY appreciate everything this pedal and Source Audio can do. The amount of control this pedal gives you over the many different filter sounds that are provided is rediculous and helps you customize your own sound. Now this is truely a modeler pedal (meaning it is programmed to sound like the best envelope filters available on the market, plus it's own customized sounds) so it helps to be able to alter certain sounds to give your tone a unique twist. It has a large foot print on your board but it is completely worth it. Standard chain order tells us bass players to put an envelope filter closer to your original signal, but put it before any effect you would like to alter (I.e. distortion, fuzz, synths). This is NOT just for dubstep sounds...it is one of the most useful and multifunctioning pedals one can own. 6 save able presets give you a huge arsenal of customized sounds<br /><br />Here are my own uses: Envelope Filter, Auto Wah, Standard Wah via Expression Pedal, Phaser, Sequencer via LFO, Wobbels via HotHands3, Swells via Volume Pedal, EQ (stand alone) and Boost.<br /><br />Source Audio has struck gold..not only with the effect but with the control this pedal gives the user...I have played many different venues and every time I utilize this beauty many questions are asked about how I get the sounds from my bass. I have a decent pedal board setup but the SABEFPro is by far my most treasured pedal. I rock a Spector Legend it has passive pickups with an active preamp and I have never had any issues with ANY bass (Active, Passive, Piezo) I've ever plugged into it. Spend the money, you WILL never look back and you will find yourself challenged to play different styles and your bass playing will change with this tool.<br /><br />ONLY CON: It can be a little confusing a first (option knobs, back page menu, LFO), you have so many selections and abilities to change a sound that you have to understand the filter effect and Q settings and many other things before you jump into this baby. Read and study the manual then research the envelope filter effect before you try to change sounds otherwise you will literally destroy your own sound. DONT WORRY, once you pick it up it becomes second nature and you'll find yourself changing difficult effects on the fly.<br /><br />I have become a Source Audio Follower, what these pedal have done to my sounds has blown away every venue I play from smaller intimate venues to large theaters in the Philipines.<br /><br />KEEP MAKING THEM SOURCE AUDIO, ILL WILL ALWAYS BUY THEM!!!"
6637,R3HK4M5P6YR0OL,4,Does the job. No problems so far. it holds Samsung Studio condenser mic and Samson Spider Shockmount. I just use a book draped over the end as a counterweight.
2412,R2TAY3KHTISDUB,5,Finally! Wireless lights ! Amazed at how well these work and how affordable they are.
8650,R35TMAHSMJMPEE,5,"Quality is much better than letting a typical computer sound card convert it I bought this to put vinyl onto CDs.  Quality is much better than letting a typical computer sound card convert it.  Don't bother with any of the software that comes with this product, you don't need it."
4919,R183TIJMLGO4AI,1,"Terrible Jack The jack on this cable is terrible, and I cannot believe Shure would put this cable with their earbuds.  I bought this as a replacement and the wire within the jack became faulty only after a few weeks!"
5845,R243UAF28VZGI8,5,Five Stars good quality
3862,R1A2UZ1CWIU3NL,4,I like that it wicks my flute innards dry after I ... I like that it wicks my flute innards dry after I run the cloth through it. So far so good!
7358,R1D0BM903DEP5Q,4,"Good buy, looks great! Great sax for the price, can't go wrong. Bought this for my daughter who is starting to play in school. I did buy the extra Yamaha mouth piece as the reviews had suggested. So far so good! It came with clarinet reeds instead of saxophone reeds, so the extra 10 are useless to me. Good thing I bought extra of those too. Total purchase= less than a whole year renting from the school= happy momma!"
1615,R1TIMAHLZZYMSV,4,"Great repair for old guitar. I have an old Harmony acoustic I have been trying to refurnish over the last year.  I wasn't looking to spend too much time or cash on it (it has been used and abused), but it still produces a beautiful tone.  I was however having a problem with my 1st and 3rd strings staying tuned.  My guitar still had the original tuning machines oon it, and they were very worn.    That being said, these were a perfect fit for what I needed.  They seem to be of decent quality, and have been holding tuning well, even under stress of a capo.  The bushings that came with them are cheap, so I used the bushings that were already in the headstock and that worked out just fine.    If you are looking to get your old guitar playable again, these seem to be the way to go.  Definitly not the most beautiful set, or the MOST sturdy, but they do the job."
6821,RAJZ99EEQBU4M,5,Great! Great quality for the price. Very impressed. Includes everything a beginner needs. Got it as a Christmas present for my boyfriend and he absolutely loves it.
8604,R1XSEXQFF2V70G,5,"Exactly What I was Looking for in a Classical Guitar I did not purchase this product from Amazon, but seeing as there was no feedback yet on this model, I wanted to add my two-cents worth.<br /><br />Aesthetically:  This is a beautiful guitar.  The attention to detail is meticulous.  The finish is clean and even, with no evidence of buildup in the sharp corners such as where the neck meets the body.  The grain of the wood shows beautifully. The white spruce on top has a clean, bright, fresh look to it. The mahogany on the back in sides has a \\""deep\\"" 3-dimensional grain with some light figuring, and an attractive red-amber hue. The 6-layer binding on the top is an especially tasteful touch, and is colored in with a subtle, understated scheme (I particularly like this one strip in the center that is colored to match the mahogany B/S, sandwiched between two white strips that match the hue of the top).  The rosette is an intricate, but not overwhelming mother of pearl and ebony inlay.  Overall, a pleasure to look at.<br /><br />Body/Neck Construction:  As mentioned before, the finish is even across the body.  This is a spruce-top model, with a fairly wide-grain to the spruce toward the edges.  Otherwise, the grain is straight and even.  Back and sides are of African Mahogany, which a Cordoba rep informs me comes from Gabon, and is not the \\""sapele\\"" mahogany (which is, in fact, an attractive and effective tonewood).  All woods used are solid, no laminate construction used in this model.  The neck is also a nicely figured african mahogany, and has an ebony fingerboard with just the slightest hints of a ligher grain through, so I don't think this was dyed.  The neck is not as thick as the traditional classical neck, which will make it an easier crossover instrument to those familiar with acoustic or electric guitars.  Nut width is about 52mm, which is standard for a classical guitar, though about 9mm wider than the typical acoustic guitar.  This guitar also follows the trend of introducing a truss rod to the classical guitar neck, which had been considered heretical until recently.  I consider this a welcome change, having had classical guitars with bowed necks, and the only option to repair them would have been very expensive (pull the fingerboard, plane the neck, add new fingerboard and frets. $$$).<br /><br />Tuners are gold-colored plating with ebony-colored knobs. The tuners operate smoothly, and tuning is very precise.<br /><br />Now for the meat and potatoes:  How does it sound?  Very nice, thank you.  This guitar has a RICH low end that is not overpowering.  Very well balanced across the entire range.  The treble end is very sweet, clear and singing, but not overly bright.  You can pull a sufficiently sharp \\""edge\\"" from the trebles if you hit it right, but is not as crisp as some other instruments I've played.  I personally like it, but some prefer a more brittle high end, which is not what this guitar delivers with the supplied Savarez Cristol HT strings.  I am looking forward to trying it out with some carbon fiber trebles in the near future.  Overall, I would describe the tone as warm and sweet, without becoming \\""mushy\\"".  Individual notes are well defined.  Again, as you work your way up the neck, the trebles have a clear, soft sweetness to them, although you can still extract a sound with a sharper attack with the right technique.  The guitar is fairly loud, but not \\""concert level\\"", although I hope this will improve as the spruce opens up over time.<br /><br />If you are used to cedar tops, the spruce tops take a little getting used to.  Debates rage on and on about spruce vs. cedar, and the exact qualities of the sound of either top depends greatly on the guitar's construction, especially how the top in thinned, tuned, and braced.  That said, my favorite guitars have been the spruce tops, couldn't explain exactly why. However, if you like the \\""spruce sound\\"", this guitar delivers.  I haven't been able to compare it directly to the C10 in spruce, though recordings and videos Ihave seen suggest the C10 may have a bit of a harder tone to it, likely because of the solid rosewood B/S.  Some have opined that Spruce pairs best with rosewood, but I think this is subjective.  The spruce/mahogany combination in the C9 SP/MH yields a beautiful, expressive tone that should please a great many people."
4955,R77IC6U0F7CN2,5,"very good working stuff ! that item would be as my recomendation for using by string players ! any  violin player and restorer must to have this helper ! great working  resolt,economical,unvisible !"
5148,RNK9QJVIZC59O,5,PERFECT This Mixer is perfect for Karaoke and Dance Music provides a great sound which I love.  This is my second purchase upgraded one of my other mixers for this one
1430,R1VGEWCROR72XM,5,"I love my mic I love this mic, it is amazing. I have yet to really use it for serious work. But I have played around with it, with my friends. It is easy to use, easy to set up. It came in excellent condition and all the things that was listed were included when it arrived. I would recommend this product to anyone who loves music or making youtube videos."
6476,R4VG44QTRWJD0,4,"Good solid case I ordered one of these to fit an old Gibson LG-3. Another reviewer said his LG-3 fit this case, so I took the chance on it. Several other cases on Amazon do not post the internal dimensions, so I could not figure out what case would fit my old Gibson small-body. This case arrived quickly, and I was very impressed with it's quality. The case fit the intended guitar fantastically! The case also has a lockable latch, like 98% of all other cases. I am quite happy with mine."
3014,R1CA78O7PUDK6W,5,"Wow awesome little gizmo What a great way to store a few picks and have them at the ready when you drop them. Filled it up with a few picks, peeled the paper off the adhesive, stuck it to the back of the guitar and good-to-go. Great little product!"
3847,R3VD7HU8O98M98,4,Devices for making sound with a stringed instrument These guitar picks make sound when you use them to pluck your strings.
7388,R24ON3V9DZ0H8H,4,Four Stars Works good folds up nicely
6223,R388O2NAUIYY74,1,"Small and uncomfortable The title says it all. One thing you need to look out for: in the event you want to return this item because it is small and uncomfortable, do not order it from \\""The Music Superstore.\\"" They first refused to issue a refund even though I only had the item 2 days, and then they wanted to charge a 20% restocking fee. Beware!!"
6812,R2O7MJEKS0SVQC,4,"good sound good sound, easy to use, just pat your foot in time to music.  would have gave 5 stars, but the pins that hold the metal disks in are loose, I keep pushing them back in, maybe a little glue on the end will help. otherwise, good product, will buy again, one for each foot.<br />UPDATE, I put a piece of duct tape over the pins and have played several times and the pins have stayed in place, so if you order this, put duct tape over the pins to hold them in otherwise they are likely to come out and the jingles will fall out and go rolling across the floor.  this happened to me before I fixed it with duct tape. Still a good buy and great product"
3202,RTLMCWC2T9Y07,4,"Neerly perfect for the money and  my needs I am using a hackintosh which is the macintosh OS on a pc. So I needed a good sound card for my pro audio software. This Firebox sounds great. It is loud without distorting. It is so easy to get at all of the knobs and it was picked up with no problems by the Mac os. I did have to load the latest drivers in order to get sync.     I would have given it 5 stars but unfortunately since it is a small box, it not rack mounted. Well the 1/4\\"" input plugs on the front are too tight on my unit so it requires a great deal of force in order to get them out.    This is something I'm willing to overlook unless it later becomes a problem.    I would definitely recommend this product. I just wish protools would enable this product like they do with the m audio. I read mixed reviews on the m audio so I got this instead. So I just use logic and reason."
6266,R1RXGA06AFEW23,5,"My new favorite After trying many different brands and models of harmonica I have finally found the one that works best for me.  Very airtight and nice responsive reeds.  Plays well at all volume levels, bends easily and consistently.  I find it very comfortable in both mouth and hand, haven't had a problem with any sharp edges myself and found it near perfect out of the box."
1149,R5HNRIHHDB3AL,4,"Cheap practical stand Very reasonable priced for a music stand, and build quality is pretty good too. Some people may find it too short, but thats only if you are like over 6 feet tall. Otherwise, you will be okay with this stand's height."
2644,R2JOQ7YMY04AR5,3,"Defective pieces and bad customer service It has been over a week since I bought this stool I have since called Gibson once and emailed him twice and is still not done the pieces I need for the stool to be put together properly. May have to contact seller but feels bad as it's not his/her fault but not sure what to do.  Otherwise stool seems good, is pretty and seems like it will get wrinkly over time."
7516,R1ZIXFBK2WG5YH,5,"great Cable Fits tight, very easy to move around not to stiff."
4474,R3A7MRDFCYVU5M,5,This is the pad saver you want. Very good pad-saver. Durable plastic and soft absorbent and fibers
6581,R13TH1TJK3C87W,5,"Price to Performance Ratio Is Through The Roof Ranging from $110 to $150 ($200 on the manufacturer's website, but that is a bit too highly priced) these are extremely satisfactory for the price. At this price range I haven't found a single headphone that is almost perfect except for these. They are highly durable, stylish, comfortable, and most importantly sound very good. Out of the box and a few days after, I can say that I wasn't too impressed, but coming from regular Apple in-ears I didn't know what to look for or what good sound actually was. Now after spending 2 weeks with these (listening frequently) I can confidently say they are amazing and easily achieve top-tier status for their price. I also compared these with other Beats By Dre models and I almost immediately came to appreciate these for what they were. These don't have a bone-rattling QUANTITY of bass, but they have a clear, sufficient, punchy and detailed range of bass from the high hitting beats to the pounding of drums and even low, rumbly frequencies that Beats can't even achieve because of the low-end roll-off. Vocals come in not sounding right next to you, but maybe as though you were a few rows back in a concert. Instruments and treble and high parts of the song are crystal clear, they  aren't fatiguing to listen to, and I find it highly detailed. I found large amounts of bass fatiguing to listen to after about an hour so I appreciate the somewhat flatter response of these where the bass hits home just right. Give these a while and you will come to love them."
2888,R32PU43NOGJQCQ,5,Five Stars Worked perfectly
7840,R1KOHO2BXV8QWP,5,A deep full sound This was an excellent buy! It has a mid-low full sound that's perfect for any space. It sounds... perfect. I would recommend this Djembe anytime.
3315,R3718JQ6TEPXOW,5,Five Stars Exactly what I was looking for at a great price!
3779,RVQV051EMCC4W,5,Just what I needed This pedal rules.  Works perfectly and has a nice grip for carpeted floors.  I highly recommend it for other pianists or those learning to become one.
5793,RDICFH3NA9YFX,5,"The Secret Weapon against unwanted noise The ISP G String Decimator is, first of all, appropriately NAMED. It truly decimates unwanted guitar noise.<br /><br />Before I bought mine, I watched A/B-type comparison videos on YouTube and found this one to be the best: [...] It's narrated in Spanish or Portugese, but don't let that deter you... his captions are spot-on. The most powerful part of the video is how he demonstrates, without argument, how the Decimator does NOT decay or clamp the natural resonance of the sounds you want to hear.<br /><br />This pedal will never come off of my pedal board. That, however, does not mean I have it on all the time.<br /><br />I don't play with tons of distortion, but I do play combinations of single-coil, P-90 and humbucking guitars and this pedal is like a waiter in a fine restaurant... ready to serve you, but never in the way. I have the MXR Fullbore Metal pedal with what is supposed to be a noise gate built in, and the controls for the MXR are complicated by comparison to the Decimator.<br /><br />The Decimator simply rolls ON or OFF the noise reduction that is required without complicated knobs and/or settings.<br /><br />I'm not smart enough to use modeling amps and pedals that try to do too much (e.g. Fullbore Metal) have too high a \\""hassle-factor\\"" for me.<br /><br />The G-String Decimator does require you to learn about the best way to properly use it in your rig. WITH Effects (FX) loop *OR* direct to the amp's front input, it does a splendid job.<br /><br />*FRUSTRATION WARNING AND A HELPFUL HINT*... print the page from ISP or other helpful set-up images that folks have posted and sit with your board, patiently until you have the order worked out.And have some extra patch cables (and some longer than you're used to using) to get your board situated. Granted, that input is colored from my own experience... I used extra instrument cables to get me by until I could order longer patch cables.<br /><br />Some helpful links:<br /><br />From ISP:<br />[...]<br /><br />Forum-based link:<br />[...]<br /><br />Go to the video (if links are allowed) or go to Yoo Toob and search \\""g string decimator\\"" by \\""hermeticoguitar\\"". YOU WILL SAVE A TON OF TIME by doing so; and you'll realize that he did the video exactly correctly.<br /><br />So much can be said about this pedal, that I'd be waxing on here without any reason if you see the video for yourself.<br /><br />Bottom line: No other pedal delivers what this pedal delivers because of the way the pedal isolates the guitar.<br /><br />A top performer. Expensive? That depends on how much you value frittering time away on other solutions whose price is lower.<br /><br />Hear what this pedal can do ONE TIME and you'll find yourself selling other gear to fund this purchase.<br /><br />\m/ ROCK ON!"
